Date ,Ligue,Équipe adverse ,Lieux,Stade,Score ,Résultat,Buts_marqués ,Buts_encaissés ,Buteuses,Coach ,Cartons jaunes ,Cartons rouges ,Joueuse du match 
04/09/2024,Women's champions league,Rangers,Domicile,Meadow Park,6-0,Victoire ,6,0,Foord; Foord; Foord; Foord; Russo; Little,Jonas Eidevall ,,,
07/09/2024,Women's champions league,Rosenborg BK,Domicile,Meadow Park,1-0,Victoire ,1,0,Maanum,Jonas Eidevall ,,,
18/09/2024,Women's champions league,BK Häcken,Extérieur,Bravida Arena,1-0,Défaite ,0,1,,Jonas Eidevall ,,,
22/09/2024,WSL,Manchester City,Domicile,Emirates Stadium,2-2,Équalité,2,2,Maanum; Mead,Jonas Eidevall ,,,
26/09/2024,Women's champions league,BK Häcken,Domicile,Meadow Park,4-0,Victoire ,4,0,Wälti; Mariona; Mead; Maanum,Jonas Eidevall ,,,
29/09/2024,WSL,Leicester City,Extérieur,King Power Stadium,0-1,Victoire ,1,0,Maanum,Jonas Eidevall ,Codina,,Van Domselaar
06/10/2024,WSL,Everton,Domicile,Emirates Stadium,0-0,Équalité,0,0,,Jonas Eidevall ,,,Little 
09/10/2024,Women's champions league ,Bayern München,Extérieur,FC Bayern Campus Platz 1 ,5-2,Défaite ,2,5,Mariona; Codina,Jonas Eidevall ,Codina,,
12/10/2024,WSL,Chelsea,Domicile,Emirates Stadium,1-2,Défaite ,1,2,Foord,Jonas Eidevall ,Williamson; Foord ,,
16/10/2024,Women's champions league ,Vålerenga,Domicile,Emirates Stadium,4-1,Victoire ,4,1,Fox; Foord; Mariona; Russo,Renée Slegers,Foord; Codina,,Mariona
20/10/2024,WSL,West Ham United,Extérieur,Chigwell Construction Stadium,0-2,Victoire ,2,0,Mariona; Kafaji,Renée Slegers,Mariona,,Mariona
03/11/2024,WSL ,Manchester United,Extérieur,Leigh Sports Village Stadium,1-1,Équalité,1,1,Russo,Renée Slegers,Little; McCabe,,Russo
08/11/2024,WSL,Brighton ,Domicile,Emirates Stadium,5-0,Victoire ,5,0,Mead; Foord; Maanum; Hurtig; Russo,Renée Slegers,,,McCabe
12/11/2024,Women's champions league ,Juventus ,Extérieur,Stadio Comunale Vittirio Pozzo Lamarmora,0-4,Victoire ,4,0,Maanum; Blackstenuis; Mariona; Foord,Renée Slegers,Catley,,Foord
16/11/2024,WSL,Tottenham Hotspur,Extérieur,Tottenham Hotspur Stadium,0-3,Victoire ,3,0,Russo; Maanum; Blackstenius,Renée Slegers,McCabe; Cooney-Cross; Catley,,Maanum
21/11/2024,Women's champions league ,Juventus ,Domicile,Emirates Stadium,1-0,Victoire ,1,0,Hurtig,Renée Slegers,,,Little
08/12/2024,WSL,Aston Villa,Domicile,Emirates Stadium,4-0,Victoire ,4,0,Russo; Mead; Blackstenius; Russo,Renée Slegers,McCabe,,Russo
12/12/2024,Women's champions league ,Vålerenga,Extérieur,Intility Arena,1-3,Victoire ,3,1,Russo; Maanum; Russo,Renée Slegers,,,Russo
15/12/2024,WSL,Liverpool,Extérieur,St Helens Stadium,0-1,Victoire ,1,0,Russo,Renée Slegers,Mariona,,Russo
18/12/2024,Women's champions league ,Bayern München,Domicile,Meadow Park,3-2,Victoire ,3,2,CSC; Russo; Mariona,Renée Slegers,Foord; McCabe,,
19/01/2025,WSL,Crystal Palace,Domicile,Meadow Park,5-0,Victoire ,5,0,Williamson; Russo; Mead; Mariona; Mariona,Renée Slegers,,,Mariona
22/01/2025,Women's League Cup,Brighton ,Extérieur,Broadfield Stadium,0-4,Victoire ,4,0,Maanum; McCabe; Cooney-Cross; Mariona,Renée Slegers,,,
26/01/2025,WSL,Chelsea,Extérieur,Stamford Bridge,1-0,Défaite ,0,1,,Renée Slegers,McCabe,McCabe,
29/01/2025,FA CUP (women) ,Bristol City,Domicile,Meadow Park,5-0,Victoire ,5,0,Blackstenius; Maanum; Blackstenius; Mead; Mead,Renée Slegers,,,
02/02/2025,WSL,Manchester City,Extérieur,Joie Stadium,3-4,Victoire ,4,3,Mariona; Wubben-Moy; Maanum; Blackstenius,Renée Slegers,,,Mariona
06/02/2025,Women's League Cup,Manchester City,Domicile,Meadow Park,1-2,Défaite ,1,2,Mariona,Renée Slegers,,,
09/02/2025,FA CUP (women) ,London City Lionesses,Domicile,Meadow Park,2-0,Victoire ,2,0,Codina; Blackstenius,Renée Slegers,Ilestedt,,
